Freq1,Freq2,Freq3,Amp1,Amp2,Amp3,Gap1,Gap2,Label
457.03125,191.40625,152.34375,0.973352,0.398973,0.372726,-265.625,-39.0625,Happy
62.5,347.65625,35.15625,0.300915,0.265965,0.236089,285.15625,-312.5,Happy
238.28125,335.9375,70.3125,0.06755,0.063237,0.048863,97.65625,-265.625,Happy
265.625,417.96875,386.71875,0.32509,0.2788,0.230512,152.34375,-31.25,Happy
367.1875,183.59375,97.65625,0.282408,0.264609,0.240857,-183.59375,-85.9375,Happy
320.3125,335.9375,54.6875,0.758382,0.484946,0.400671,15.625,-281.25,Happy
332.03125,304.6875,367.1875,0.102966,0.099335,0.091965,-27.34375,62.5,Happy
292.96875,425.78125,50.78125,0.367021,0.269913,0.267327,132.8125,-375,Happy
35.15625,468.75,246.09375,0.3024,0.219896,0.200858,433.59375,-222.65625,Happy
187.5,277.34375,351.5625,0.562513,0.441839,0.330987,89.84375,74.21875,Happy
320.3125,390.625,285.15625,0.292171,0.211369,0.090393,70.3125,-105.46875,Happy
50.78125,58.59375,93.75,63.386226,5.061204,4.31372,7.8125,35.15625,Happy
66.40625,101.5625,54.6875,0.377662,0.222167,0.154965,35.15625,-46.875,Happy
246.09375,257.8125,234.375,1331.888766,62.24409,62.14,11.71875,-23.4375,Happy
250,468.75,144.53125,0.218743,0.203359,0.168051,218.75,-324.21875,Happy
35.15625,46.875,207.03125,0.379264,0.29095,0.198227,11.71875,160.15625,Happy
121.09375,285.15625,414.0625,0.606283,0.498553,0.29557,164.0625,128.90625,Happy
109.375,156.25,250,0.577042,0.353295,0.266963,46.875,93.75,Happy
421.875,31.25,250,0.091223,0.0823,0.06121,-390.625,218.75,Happy
437.5,410.15625,460.9375,0.320689,0.320658,0.254282,-27.34375,50.78125,Happy
460.9375,425.78125,11.71875,0.157574,0.136912,0.129516,-35.15625,-414.0625,Happy
402.34375,410.15625,386.71875,55767.68477,2671.061325,1831.15853,7.8125,-23.4375,Happy
269.53125,253.90625,441.40625,67584.747283,3700.721539,2366.347375,-15.625,187.5,Happy
78.125,351.5625,160.15625,181962.666168,11538.487368,6443.056453,273.4375,-191.40625,Happy
468.75,453.125,445.3125,11216830.500885,300536.084022,181838.79511,-15.625,-7.8125,Happy
128.90625,203.125,257.8125,0.27746,0.246847,0.236673,74.21875,54.6875,Happy
132.8125,425.78125,62.5,0.080215,0.060957,0.042106,292.96875,-363.28125,Happy
140.625,171.875,410.15625,0.259853,0.213322,0.201268,31.25,238.28125,Happy
351.5625,238.28125,367.1875,1.663904,0.291766,0.111528,-113.28125,128.90625,Happy
300.78125,324.21875,289.0625,0.548816,0.424746,0.422949,23.4375,-35.15625,Happy
242.1875,85.9375,50.78125,0.162606,0.120189,0.112108,-156.25,-35.15625,Happy
496.09375,191.40625,109.375,0.546523,0.257936,0.229177,-304.6875,-82.03125,Happy
308.59375,54.6875,78.125,0.276852,0.230904,0.215271,-253.90625,23.4375,Happy
472.65625,93.75,300.78125,0.28383,0.0617,0.058062,-378.90625,207.03125,Happy
66.40625,187.5,472.65625,0.121764,0.106605,0.104643,121.09375,285.15625,Happy
128.90625,449.21875,195.3125,147.475889,2.668264,2.638924,320.3125,-253.90625,Happy
58.59375,257.8125,85.9375,0.663318,0.449823,0.390761,199.21875,-171.875,Happy
472.65625,460.9375,441.40625,382.265152,19.180884,15.466837,-11.71875,-19.53125,Sad
19.53125,42.96875,62.5,0.331638,0.308504,0.257114,23.4375,19.53125,Sad
42.96875,460.9375,324.21875,2.774847,1.765595,1.497691,417.96875,-136.71875,Sad
27.34375,460.9375,246.09375,1.791062,1.255054,0.930595,433.59375,-214.84375,Sad
93.75,371.09375,355.46875,2.788314,1.222427,1.000147,277.34375,-15.625,Sad
74.21875,15.625,378.90625,0.893551,0.72621,0.688354,-58.59375,363.28125,Sad
191.40625,156.25,265.625,1.33409,1.230721,1.167573,-35.15625,109.375,Sad
367.1875,339.84375,199.21875,0.668088,0.621585,0.576135,-27.34375,-140.625,Sad
320.3125,414.0625,468.75,0.37671,0.327184,0.29436,93.75,54.6875,Sad
70.3125,390.625,218.75,1.006126,0.976298,0.945944,320.3125,-171.875,Sad
343.75,355.46875,39.0625,50.231439,4.042716,3.798796,11.71875,-316.40625,Sad
363.28125,378.90625,156.25,0.993177,0.702515,0.558122,15.625,-222.65625,Sad
378.90625,316.40625,207.03125,0.869986,0.607911,0.584006,-62.5,-109.375,Sad
437.5,23.4375,175.78125,1.478638,1.269037,1.127163,-414.0625,152.34375,Stressed
285.15625,152.34375,316.40625,1.551711,1.253809,1.242753,-132.8125,164.0625,Stressed
183.59375,156.25,117.1875,0.586107,0.511463,0.504038,-27.34375,-39.0625,Stressed
35.15625,148.4375,128.90625,0.610686,0.456521,0.434333,113.28125,-19.53125,Stressed
50.78125,488.28125,250,1.640219,1.322527,1.270873,437.5,-238.28125,Stressed
257.8125,476.5625,19.53125,1.827073,1.328784,1.174244,218.75,-457.03125,Stressed
27.34375,58.59375,437.5,0.796165,0.75222,0.722708,31.25,378.90625,Stressed
19.53125,390.625,31.25,8.605395,2.252784,2.016495,371.09375,-359.375,Stressed
39.0625,335.9375,308.59375,1.641075,0.875994,0.800976,296.875,-27.34375,Stressed
27.34375,144.53125,39.0625,94.462622,8.023195,6.831596,117.1875,-105.46875,Relaxed
449.21875,441.40625,468.75,409593.350378,12837.367111,2285.184787,-7.8125,27.34375,Relaxed
7.8125,19.53125,27.34375,48.064354,4.758581,1.541584,11.71875,7.8125,Relaxed
367.1875,289.0625,42.96875,0.063193,0.062891,0.04812,-78.125,-246.09375,Relaxed
199.21875,234.375,128.90625,0.34612,0.316861,0.31523,35.15625,-105.46875,Relaxed
113.28125,382.8125,363.28125,0.363852,0.282452,0.184822,269.53125,-19.53125,Relaxed
121.09375,3.90625,15.625,0.274539,0.251794,0.242344,-117.1875,11.71875,Relaxed
109.375,402.34375,183.59375,0.359935,0.277109,0.267369,292.96875,-218.75,Relaxed
277.34375,82.03125,11.71875,0.451381,0.358495,0.345964,-195.3125,-70.3125,Relaxed
453.125,121.09375,273.4375,0.206114,0.183925,0.183074,-332.03125,152.34375,Relaxed
335.9375,19.53125,324.21875,0.632654,0.619899,0.549621,-316.40625,304.6875,Relaxed
15.625,476.5625,54.6875,0.144851,0.143449,0.141874,460.9375,-421.875,Relaxed
386.71875,58.59375,312.5,0.166035,0.159588,0.159476,-328.125,253.90625,Relaxed
15.625,460.9375,433.59375,0.130324,0.122734,0.090291,445.3125,-27.34375,Relaxed
207.03125,375,484.375,0.878516,0.383159,0.332703,167.96875,109.375,Relaxed
54.6875,210.9375,39.0625,0.371035,0.286238,0.270624,156.25,-171.875,Relaxed
3.90625,15.625,23.4375,136.354503,9.975232,3.600461,11.71875,7.8125,Relaxed
210.9375,15.625,386.71875,0.214406,0.197194,0.187071,-195.3125,371.09375,Relaxed
15.625,242.1875,273.4375,0.215675,0.163567,0.130327,226.5625,31.25,Relaxed
15.625,296.875,74.21875,0.184696,0.162911,0.144366,281.25,-222.65625,Relaxed
457.03125,101.5625,316.40625,0.263463,0.257945,0.227314,-355.46875,214.84375,Relaxed
265.625,250,281.25,601.697506,28.046752,26.754979,-15.625,31.25,Relaxed
449.21875,132.8125,15.625,0.162532,0.154618,0.140158,-316.40625,-117.1875,Relaxed
320.3125,113.28125,11.71875,0.656768,0.513759,0.366018,-207.03125,-101.5625,Relaxed
125,132.8125,441.40625,0.840377,0.539992,0.450912,7.8125,308.59375,Relaxed
433.59375,42.96875,152.34375,0.70507,0.357014,0.282214,-390.625,109.375,Relaxed
289.0625,355.46875,187.5,0.37391,0.281475,0.262871,66.40625,-167.96875,Relaxed
46.875,207.03125,35.15625,0.774778,0.586924,0.542615,160.15625,-171.875,Relaxed
390.625,300.78125,136.71875,0.620352,0.429356,0.362082,-89.84375,-164.0625,Relaxed
488.28125,375,74.21875,0.793723,0.336011,0.263147,-113.28125,-300.78125,Relaxed
375,269.53125,85.9375,0.960919,0.86432,0.807043,-105.46875,-183.59375,Relaxed
304.6875,54.6875,97.65625,0.218772,0.17797,0.170957,-250,42.96875,Relaxed
441.40625,54.6875,101.5625,0.164322,0.163291,0.12509,-386.71875,46.875,Relaxed
363.28125,464.84375,203.125,0.082297,0.080056,0.077396,101.5625,-261.71875,Relaxed
382.8125,312.5,292.96875,0.325919,0.322619,0.268039,-70.3125,-19.53125,Relaxed
347.65625,93.75,121.09375,0.217399,0.154864,0.154668,-253.90625,27.34375,Relaxed
148.4375,93.75,42.96875,0.413531,0.302323,0.256359,-54.6875,-50.78125,Relaxed
207.03125,371.09375,132.8125,0.214508,0.19815,0.19213,164.0625,-238.28125,Relaxed
